,ID State,State,ID Year,Year,Population,Slug State
0,04000US01,Alabama,2019,2019,4903185,alabama
1,04000US02,Alaska,2019,2019,731545,alaska
2,04000US04,Arizona,2019,2019,7278717,arizona
3,04000US05,Arkansas,2019,2019,3017804,arkansas
4,04000US06,California,2019,2019,39512223,california
5,04000US08,Colorado,2019,2019,5758736,colorado
6,04000US09,Connecticut,2019,2019,3565287,connecticut
7,04000US10,Delaware,2019,2019,973764,delaware
8,04000US11,District of Columbia,2019,2019,705749,district-of-columbia
9,04000US12,Florida,2019,2019,21477737,florida
10,04000US13,Georgia,2019,2019,10617423,georgia
11,04000US15,Hawaii,2019,2019,1415872,hawaii
12,04000US16,Idaho,2019,2019,1787065,idaho
13,04000US17,Illinois,2019,2019,12671821,illinois
14,04000US18,Indiana,2019,2019,6732219,indiana
15,04000US19,Iowa,2019,2019,3155070,iowa
16,04000US20,Kansas,2019,2019,2913314,kansas
17,04000US21,Kentucky,2019,2019,4467673,kentucky
18,04000US22,Louisiana,2019,2019,4648794,louisiana
19,04000US23,Maine,2019,2019,1344212,maine
20,04000US24,Maryland,2019,2019,6045680,maryland
21,04000US25,Massachusetts,2019,2019,6892503,massachusetts
22,04000US26,Michigan,2019,2019,9986857,michigan
23,04000US27,Minnesota,2019,2019,5639632,minnesota
24,04000US28,Mississippi,2019,2019,2976149,mississippi
25,04000US29,Missouri,2019,2019,6137428,missouri
26,04000US30,Montana,2019,2019,1068778,montana
27,04000US31,Nebraska,2019,2019,1934408,nebraska
28,04000US32,Nevada,2019,2019,3080156,nevada
29,04000US33,New Hampshire,2019,2019,1359711,new-hampshire
30,04000US34,New Jersey,2019,2019,8882190,new-jersey
31,04000US35,New Mexico,2019,2019,2096829,new-mexico
32,04000US36,New York,2019,2019,19453561,new-york
33,04000US37,North Carolina,2019,2019,10488084,north-carolina
34,04000US38,North Dakota,2019,2019,762062,north-dakota
35,04000US39,Ohio,2019,2019,11689100,ohio
36,04000US40,Oklahoma,2019,2019,3956971,oklahoma
37,04000US41,Oregon,2019,2019,4217737,oregon
38,04000US42,Pennsylvania,2019,2019,12801989,pennsylvania
39,04000US44,Rhode Island,2019,2019,1059361,rhode-island
40,04000US45,South Carolina,2019,2019,5148714,south-carolina
41,04000US46,South Dakota,2019,2019,884659,south-dakota
42,04000US47,Tennessee,2019,2019,6829174,tennessee
43,04000US48,Texas,2019,2019,28995881,texas
44,04000US49,Utah,2019,2019,3205958,utah
45,04000US50,Vermont,2019,2019,623989,vermont
46,04000US51,Virginia,2019,2019,8535519,virginia
47,04000US53,Washington,2019,2019,7614893,washington
48,04000US54,West Virginia,2019,2019,1792147,west-virginia
49,04000US55,Wisconsin,2019,2019,5822434,wisconsin
50,04000US56,Wyoming,2019,2019,578759,wyoming